tracker_id,avg_area,std_area,initial_area,final_area,max_area,min_area,avg_speed,max_speed,std_speed,lifetime,measurement_count,total_displacement,avg_displacement,max_displacement,avg_angle,path_length,straightness,avg_confidence,total_frames_lost,avg_nonzero_speed,area_change_ratio,speed_variation
10,1884.313,615.249,736.433,3276.624,3276.624,736.433,51.612,221.788,61.153,2.2,12,216.529,9.68,44.018,128.33,116.163,1.864,0.554,0,56.304,3.449,1.185
11,644.664,67.788,529.822,688.779,699.194,529.822,34.994,100.94,38.814,0.8,5,62.177,6.485,19.728,190.315,32.426,1.918,0.588,0,43.742,0.3,1.109
12,2333.639,281.035,2101.206,2810.548,2810.548,2101.206,72.385,140.061,50.633,0.8,5,131.187,14.01,27.028,117.828,70.05,1.873,0.846,0,90.482,0.338,0.699
13,829.134,195.742,1106.606,565.951,1106.606,565.951,63.87,138.23,50.325,0.8,5,85.088,12.032,27.782,124.317,60.158,1.414,0.669,0,79.837,-0.489,0.788
14,2363.198,1076.237,1252.84,3429.861,4499.711,652.662,40.56,166.999,38.998,7.4,37,279.079,7.214,29.427,144.813,266.922,1.046,0.825,0,41.686,1.738,0.961
15,760.71,252.28,1218.484,493.556,1218.484,493.556,37.897,118.637,41.931,1.0,6,101.237,7.27,23.552,155.051,43.622,2.321,0.704,0,45.476,-0.595,1.106
16,348.429,25.473,366.441,330.417,366.441,330.417,10.47,20.94,14.807,0.2,2,4.472,2.387,4.773,101.768,4.773,0.937,0.483,0,20.94,-0.098,1.414
17,880.511,146.788,984.305,776.716,984.305,776.716,33.041,66.082,46.727,0.2,2,13.892,6.916,13.831,103.659,13.831,1.004,0.697,0,66.082,-0.211,1.414
19,1031.558,266.98,1140.881,1213.428,1443.135,729.165,30.906,86.701,27.163,1.6,9,96.4,5.834,17.281,145.393,52.509,1.836,0.586,0,34.769,0.064,0.879
21,880.035,132.49,787.588,751.936,1092.202,751.936,42.837,84.281,31.582,0.8,5,71.197,8.291,16.486,108.158,41.456,1.717,0.642,0,53.547,-0.045,0.737
25,1019.175,223.859,1082.082,1380.164,1380.164,686.978,88.906,235.646,70.139,1.8,9,279.952,16.738,46.743,157.762,150.643,1.858,0.809,0,100.019,0.275,0.789
26,2481.843,390.427,2068.725,2213.039,3187.486,2068.725,64.014,162.245,55.935,1.8,10,174.195,11.33,28.314,138.764,113.299,1.537,0.863,0,71.127,0.07,0.874
31,19523.014,2308.914,22176.656,18419.184,22176.656,17973.203,238.584,443.382,223.614,0.4,3,160.24,46.165,84.34,155.613,138.494,1.157,0.714,0,357.876,-0.169,0.937
37,24728.484,4838.741,21306.977,28149.99,28149.99,21306.977,76.089,152.179,107.607,0.2,2,30.083,14.982,29.963,10.787,29.963,1.004,0.919,0,152.179,0.321,1.414
39,29876.732,3642.187,26741.76,27359.36,34659.543,26741.76,245.492,566.355,238.397,0.6,4,368.136,47.038,112.19,211.807,188.151,1.957,0.877,0,327.322,0.023,0.971
41,4517.656,661.608,2075.943,5015.836,5806.627,2075.943,68.58,147.755,40.262,6.0,31,357.62,12.354,25.805,169.202,382.981,0.934,0.86,0,70.866,1.416,0.587
42,1341.225,323.052,1239.612,1050.711,1995.232,994.395,45.986,153.722,42.309,2.4,13,252.121,8.521,26.926,140.814,110.769,2.276,0.783,0,49.818,-0.152,0.92
43,4421.221,807.794,3850.024,4992.418,4992.418,3850.024,106.137,212.274,150.1,0.2,2,42.154,21.262,42.524,100.36,42.524,0.991,0.871,0,212.274,0.297,1.414
44,5262.387,932.74,5285.898,3169.099,7447.575,3169.099,83.287,243.198,50.299,13.2,67,104.043,14.863,42.703,185.245,995.816,0.104,0.855,0,84.549,-0.4,0.604
46,762.21,127.497,672.056,852.364,852.364,672.056,59.197,118.394,83.717,0.2,2,23.77,11.555,23.11,127.013,23.11,1.029,0.424,0,118.394,0.268,1.414
49,1819.718,733.862,429.979,1553.762,2896.069,429.979,47.438,166.738,52.267,2.0,11,273.88,8.062,28.554,236.708,88.679,3.088,0.806,0,52.182,2.614,1.102
54,1434.712,239.972,1334.421,1290.846,1793.642,1290.846,51.301,120.799,55.405,0.6,4,57.689,9.468,22.95,213.363,37.873,1.523,0.611,0,68.401,-0.033,1.08
55,884.258,192.875,663.044,972.531,1017.2,663.044,56.222,115.904,58.029,0.4,3,49.82,11.148,23.437,151.47,33.443,1.49,0.761,0,84.333,0.467,1.032
59,874.358,257.761,1148.555,539.909,1148.555,539.909,65.139,152.676,74.135,0.6,4,109.772,12.849,30.531,164.338,51.396,2.136,0.726,0,86.852,-0.53,1.138
61,1655.088,281.431,1766.984,1187.943,2558.786,1078.447,28.654,95.501,19.993,9.0,44,652.66,5.315,18.27,159.995,233.847,2.791,0.754,0,29.32,-0.328,0.698
62,6209.469,1242.291,1102.572,9184.087,9184.087,1102.572,84.977,193.532,38.038,8.6,44,232.207,15.192,33.781,175.975,668.448,0.347,0.829,0,86.953,7.33,0.448
66,873.6,65.313,920.801,932.911,938.627,755.139,42.447,131.587,43.093,1.2,7,182.483,7.842,26.406,158.893,54.894,3.324,0.671,0,49.521,0.013,1.015
67,715.327,50.775,708.982,688.209,799.032,645.272,33.442,87.26,30.325,1.0,6,107.005,6.234,17.649,179.743,37.403,2.861,0.735,0,40.131,-0.029,0.907
68,880.676,44.091,911.853,849.499,911.853,849.499,51.07,102.141,72.225,0.2,2,20.1,10.485,20.969,87.221,20.969,0.959,0.65,0,102.141,-0.068,1.414
69,824.543,52.59,847.772,745.734,853.38,745.734,77.463,139.973,66.946,0.6,4,110.318,14.609,27.781,165.284,58.437,1.888,0.553,0,103.284,-0.12,0.864
70,9393.272,1439.069,10734.869,3536.882,12691.414,3536.882,84.359,177.094,40.784,12.0,61,533.475,14.911,31.76,172.141,909.567,0.587,0.886,0,85.765,-0.671,0.483
75,24824.708,3097.443,27571.56,17422.371,27571.56,17422.371,159.54,457.952,136.257,1.8,10,742.516,29.644,89.924,164.301,296.444,2.505,0.923,0,177.266,-0.368,0.854
76,395.466,61.638,413.195,297.572,449.2,297.572,13.021,21.762,8.896,0.8,5,19.416,2.449,4.406,51.18,12.244,1.586,0.38,0,16.276,-0.28,0.683
